,NIG,Int_WZ,Int_ZB,Int_TW,FWHM_x_WZ,FWHM_x_ZB,FWHM_x_TW,FWHM_y_WZ,FWHM_y_ZB,FWHM_y_TW,max_pos_x_WZ,max_pos_x_ZB,max_pos_x_TW,max_pos_y_WZ,max_pos_y_ZB,max_pos_y_TW,name,COM_x_WZ,COM_x_ZB,COM_x_TW,COM_y_WZ,COM_y_ZB,COM_y_TW
326.0,0.0004,144.2795839753467,177.81009244992296,55.478505392912176,22.965582388542007,16.75851914166047,,210.44853741107787,20.212538951513995,,5,38,9,85,38,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_0.tif,54.11284854510669,43.379449950714374,54.78066298112374,30.331661637517893,38.50204529945082,13.53313864112616
327.0,0.000399,144.2528592546487,177.84984050416244,55.412744106434296,35.79902486566688,17.679723983832492,28.775642317462875,18.11674726378508,20.094269214388742,165.17577945949756,32,36,9,55,40,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_1.tif,54.14934560607352,43.381581203760085,54.759498469574005,30.34231441759318,38.51321227838089,13.520999129482464
328.0,0.000401,144.1879740834387,177.96689317319849,55.531842604298355,27.124257013229062,16.88677397386179,29.612334898870614,4515.598598340592,20.9756502072944,8954.02130558106,15,37,5,74,40,43,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_2.tif,54.16722534486529,43.37095405729752,54.78089699791267,30.329574105827188,38.50905210515777,13.545813881683696
329.0,0.000399,144.39554917444366,178.14740368509212,55.409507856744035,20.75963492311128,17.658986496584024,27.7655786849498,47.47290365808766,21.538395242415927,7505.889191859883,1,36,9,81,41,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_3.tif,54.140285490643194,43.34817594789011,54.704187174035404,30.336563760331924,38.54989581066644,13.54171986946301
329.0,0.000398,144.3061093762511,178.03394987589078,55.64424693730483,30.479884296482435,16.951392756167454,,5336.123429905453,20.373635049593496,,20,37,9,85,39,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_4.tif,54.11251448892184,43.36412924686053,54.793745080517624,30.339108741959308,38.50727108037631,13.527860638529026
330.0,0.000398,144.30022714811625,178.11537557766115,55.58854860186418,29.335402731349717,17.703266800405707,26.70298042774557,5055.413966262691,20.7223672026352,4312.506531215471,20,37,10,68,39,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_5.tif,54.14795734201243,43.375276770130505,54.748352470554416,30.35707853470779,38.50480189305272,13.540148710932382
331.0,0.0004,144.29498477808045,178.39913475404583,55.53164556962025,,17.58226664458831,,,21.68057108037732,,1,35,9,83,42,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_6.tif,54.14632583602152,43.354465959336764,54.807946666358895,30.315085864670838,38.49174367628924,13.524466706869838
332.0,0.0004,144.3998524227269,178.44929080921537,55.57858489792572,22.58003817099823,17.048173321501583,26.781331166050595,89.86326255563152,20.62896001168292,214.3103824745237,5,37,9,75,42,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_7.tif,54.1498241300898,43.38610394634435,54.74143226354641,30.34602908737853,38.517445071227534,13.533918382279182
333.0,0.0004,144.0184507590502,178.01245620864148,55.42709225379525,22.8582799878499,17.24277637114807,,4575.792038756979,20.977343573172647,,5,36,9,85,40,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_8.tif,54.14783744351774,43.38670104129766,54.77994581163856,30.333032238743684,38.50423778847794,13.532102179754228
334.0,0.000401,144.30913185277217,177.7932132318683,55.42910389812083,24.559122669455416,17.033343890575157,28.223611765328037,21.640051816362014,21.03343000825205,107.60202904115357,9,37,10,64,40,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_9.tif,54.13376090244741,43.38148715442425,54.72809519540049,30.33345924721792,38.520611489849195,13.541860927746086
335.0,0.0004,144.79951120162931,177.84317718940937,55.64513238289206,,17.564727841946848,,,20.744496630236473,,17,36,9,74,40,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_10.tif,54.1419978688139,43.379610402995844,54.71599194195396,30.34388555508171,38.50454117566221,13.53332581795609
336.0,0.0004,144.40385967653722,177.87561528244393,55.534807406828655,,17.416480694026298,28.565884505693525,,20.914599960522324,97.71159090512644,0,37,9,69,41,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_11.tif,54.12749367636516,43.388809775852906,54.78368997875603,30.35964939333685,38.48768530679118,13.526450850462162
337.0,0.0004,144.20789814744225,177.82656095143707,55.480064039033316,20.842072912082497,17.517980610664775,28.322203496019302,225.97394262014686,20.652329517679586,3071.2853186145157,1,37,9,78,40,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_12.tif,54.151901986439874,43.381622524009124,54.78003853066788,30.332521311605408,38.528247828236125,13.534804021260573
337.0,0.000399,144.29609375,177.8665625,55.477578125,19.542531490159018,17.4991251310023,,75.29687672973081,20.484731206573404,,1,36,9,80,38,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_13.tif,54.126141451767474,43.35710847141379,54.79970511735456,30.32964553137808,38.503000405852,13.525651551231986
338.0,0.0004,144.3392786365438,177.94934601664684,55.51866825208086,19.86034777212121,17.13758729160263,,-0.8462650904326606,19.83975639132745,,0,38,8,69,40,42,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_14.tif,54.156922079919156,43.35759752070423,54.76383130011651,30.326773357351552,38.5535628294513,13.522184051812761
339.0,0.0004,144.24306738962045,177.80852052672347,55.54887683965918,20.79450396263989,17.55721376133424,28.506934551290332,92.7307254926046,20.691149319904994,87.1334337520487,0,37,9,80,41,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_15.tif,54.144422821019255,43.37891569099302,54.752247830258135,30.34727829455616,38.5272170691629,13.532878003614377
340.0,0.0004,144.21293064197906,178.08681135225376,55.566929731370465,29.93309442461985,17.071186094251964,28.392502546690057,7521.90414151887,20.699245975357854,4046.668494645724,23,37,8,67,39,42,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_16.tif,54.13173173763101,43.382605798124104,54.72177270126362,30.339760097409123,38.51433466790067,13.548843923136696
341.0,0.000398,143.92340713962946,177.80960988100617,55.4029974393734,31.126134727792362,17.36754225161175,26.9605694440581,95.39061074056143,20.55209173129423,167.71904555351202,20,37,9,87,41,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_17.tif,54.17825919733754,43.371611330325514,54.78293352328106,30.340557243140424,38.50448589469689,13.534429157700563
342.0,0.0004,144.31576099559402,177.5933369405581,55.54255236917369,35.83007510263,17.23539197265243,26.254681551430714,29.273322708065397,20.6788483425489,6080.493092850014,34,37,9,52,42,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_18.tif,54.1483508684728,43.36139193262315,54.7725042237605,30.349923112479665,38.50907432998553,13.548830011383973
343.0,0.0004,144.22159573646405,177.86205298524754,55.4241909322623,,17.08144592156424,26.32533624467236,,20.56304667778382,4213.303933576841,20,37,5,68,42,43,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_19.tif,54.18594693656991,43.41326396789967,54.8027960762399,30.35230182349643,38.519531609619676,13.539090578432697
344.0,0.0004,144.24474765485698,177.78571982324212,55.537406000465154,36.42032729383396,17.450290711509325,27.16874768888068,45.1827329641464,20.824053937487577,7963.903834691379,37,37,5,53,41,43,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_20.tif,54.15207729925567,43.365691954415944,54.72747310424539,30.340614625394963,38.52317183674929,13.524702775214726
345.0,0.000398,144.37221916515998,178.06375284961874,55.48667557581951,20.34320836530265,16.70215365977129,29.047997915685784,12.03594736446105,20.660269651848868,198.34931476074985,1,37,9,80,39,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_21.tif,54.135677644987176,43.335679021556636,54.780811961816035,30.34887362725619,38.516502887889494,13.515795230121018
346.0,0.000401,144.41140463917526,177.88579252577318,55.532055412371136,36.462224377028605,16.988711796619636,27.558023723689235,25.525511301369896,20.228725539920813,8501.70069675737,32,37,9,81,40,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_22.tif,54.12357697550267,43.35040228557975,54.79502702012804,30.344999921919094,38.49916192390758,13.524534218243735
347.0,0.000401,144.54126648217482,178.42902490639753,55.69778609799772,33.603630895037476,17.23490875195441,28.488004646196675,8.097307449126225,20.94822524079707,8246.92153432802,27,37,5,69,40,43,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_23.tif,54.11335969465615,43.35785991928579,54.73889490474249,30.344523756161895,38.49871383678067,13.520005027012887
348.0,0.000401,144.296783625731,178.29426575698506,55.56059129304743,27.84074069868236,17.22571546608966,,146.85443094395595,20.913038766763055,,16,38,8,76,41,42,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_24.tif,54.131481687870306,43.376723963958874,54.754381912750596,30.311285941206204,38.536000353505145,13.522068175106934
348.0,0.000401,144.3942908117752,178.01111021003973,55.62963263320088,34.97981134257503,17.836294786692875,26.039873582084642,22.816016897357596,20.914574148248324,82.1287824162892,32,36,10,55,41,41,./pilatus/InAs0799/InAs0799time1a/InAs0799time1a_1_25.tif,54.18355418567322,43.39466619287444,54.748315157098936,30.332483210017713,38.490697044037624,13.526137478515793
