,NIG,Int_WZ,Int_ZB,Int_TW,FWHM_x_WZ,FWHM_x_ZB,FWHM_x_TW,FWHM_y_WZ,FWHM_y_ZB,FWHM_y_TW,max_pos_x_WZ,max_pos_x_ZB,max_pos_x_TW,max_pos_y_WZ,max_pos_y_ZB,max_pos_y_TW,name,COM_x_WZ,COM_x_ZB,COM_x_TW,COM_y_WZ,COM_y_ZB,COM_y_TW,Monitor
13.0,0.000283,5.42408093914118,3.083565029348162,59.041319122644424,4.997660321560122,8.608852767525889,-2.8053077934076236,1.0734858407332848,8.81487551014013,26.645547072241705,26,36,12,36,39,38,./pilatus/InAs0799/InAs0799time4/InAs0799time4_1_0.tif,43.93482934886304,42.48594900566047,37.647117534177404,28.994418419216586,38.272629364324,12.519428569186113,12948.0
14.0,0.000283,5.385331590983339,3.0538222803005555,59.26298595230317,5.055042973525256,8.729788368340014,-2.824470850805759,153.0943834511219,8.09924470890133,7.563672434731479,26,38,12,36,42,38,./pilatus/InAs0799/InAs0799time4/InAs0799time4_1_1.tif,43.85180017592284,42.6631274905726,37.657741835902186,28.98666929539871,38.1634083068118,12.525290236157968,12244.0
16.0,1.0,5.388820989163204,3.098997800048888,59.19384013688585,4.925290727522226,9.446228219686933,-2.811968122969227,6.379405006671057,8.43858392003503,11.484083420747394,26,37,12,36,38,38,./pilatus/InAs0799/InAs0799time4/InAs0799time4_1_2.tif,43.83395073861832,42.533522637640004,37.65611587835141,28.947669232048625,38.21228374612189,12.523875201999763,12273.0
22.0,0.000286,5.433504719515002,3.0731332975212955,59.16568183562275,5.032916878831032,9.250464893215419,-2.814040521329361,11.040079221776764,8.59145839421789,28.080108975786423,26,38,12,36,41,38,./pilatus/InAs0799/InAs0799time4/InAs0799time4_1_3.tif,43.90561267724987,42.53193827098836,37.68453075793657,28.92455228518163,38.22801278529691,12.529228729889441,13031.0
23.0,0.000285,5.41633281972265,3.059784283513097,59.40130970724191,5.0344379271116955,9.18497977011826,-2.8088595476223475,-0.11989137049056635,8.861338277417778,25.312546262251878,26,38,12,36,41,38,./pilatus/InAs0799/InAs0799time4/InAs0799time4_1_4.tif,43.885383477469276,42.77913183603585,37.65054362416978,28.997994424214838,38.270369624332766,12.522665165642278,12980.0
24.0,1.0,5.439585175657207,3.0586059972666613,59.454698930782214,5.078402480073159,9.285146645363405,-2.8201212469249164,3.0854101325121426,8.530777106586472,15.174555834832072,26,37,12,36,40,38,./pilatus/InAs0799/InAs0799time4/InAs0799time4_1_5.tif,43.89095960864874,42.58547547705409,37.63017860692279,28.922306134815187,38.1395941754718,12.527398158627394,12439.0
30.0,0.000285,5.40995870022598,3.0821320034286606,59.373879841034835,5.031768013420946,9.252867009555043,-2.8088837853416617,0.42214185781112146,10.01315149066445,16.791331966498294,26,35,12,36,38,38,./pilatus/InAs0799/InAs0799time4/InAs0799time4_1_6.tif,43.782329386685106,42.50544838571031,37.601291431796255,28.952380952380953,38.21141253507951,12.524602169447926,12833.0
31.0,0.000283,5.445387226164764,3.0536099969145325,59.478324591175564,4.950920301583916,9.395851438020772,-2.81372792382455,1.6150852480989037,8.67398878353966,21.57755226117141,26,38,12,36,39,38,./pilatus/InAs0799/InAs0799time4/InAs0799time4_1_7.tif,43.93532028217695,42.676055270669664,37.67639548320077,28.935008640960987,38.29686513249299,12.522422533676922,12964.0
32.0,0.000283,5.498054474708171,3.0912411657269914,59.667910744064166,5.002574986870544,8.333225962396035,-2.8212837391339853,4.484895627285841,8.11904409333126,27.648527833666908,26,36,12,36,38,38,./pilatus/InAs0799/InAs0799time4/InAs0799time4_1_8.tif,43.898016956251716,42.36880908343609,37.663898493208656,29.012320002310904,38.21778668310728,12.52399527281148,12593.0
33.0,1.0,5.4690046050301095,3.1091037902940135,59.94394261424017,5.022112579789277,9.340468779297366,-2.8154746542560796,11.3110662765491,7.692051935845583,12.731627395370628,26,35,12,37,38,38,./pilatus/InAs0799/InAs0799time4/InAs0799time4_1_9.tif,43.75317378068528,42.67494588128062,37.63214982707601,28.832437334024224,38.14005354904865,12.527893134304545,11292.0
39.0,0.000283,5.471153846153846,3.065003178639542,59.72687539732994,5.01069781656652,8.6594724170882,-2.820465416584729,-0.3368152300836723,8.184861120388046,22.399669835017818,26,37,12,36,40,38,./pilatus/InAs0799/InAs0799time4/InAs0799time4_1_10.tif,43.8620749756714,42.53440497796215,37.598625870306535,28.95324550828625,38.2919626652839,12.523155176336443,12584.0
40.0,0.000283,5.443952802359882,3.071615863651262,59.70575221238938,5.027597331983509,9.81259912063584,-2.822970033334325,13.068709969691927,8.683408185102092,26.04214138115883,26,36,12,36,38,38,./pilatus/InAs0799/InAs0799time4/InAs0799time4_1_11.tif,43.7112947409615,42.53422611108147,37.59768009013942,28.927104970047264,38.294589980259296,12.519884059403086,12204.0
41.0,0.000283,5.4268135756795886,3.0912819687952386,59.779556055975554,4.982272702418306,9.033090877884145,-2.821473357972281,3.050934368002511,8.463404363715243,23.85307018855508,26,37,12,36,40,38,./pilatus/InAs0799/InAs0799time4/InAs0799time4_1_12.tif,43.69644471449531,42.65645081562037,37.637178309132665,28.923707337314937,38.212503577282305,12.521861323639612,12434.0
42.0,1.0,5.451463036922324,3.0536311027793626,59.79109951911321,4.994463346343752,9.909428770848892,-2.8106025313652543,3.972318145739377,8.940664727401591,42.285673079812554,26,36,13,36,39,38,./pilatus/InAs0799/InAs0799time4/InAs0799time4_1_13.tif,43.77330901261886,42.3721073001468,37.6923635828277,28.972713952514802,38.348325103429865,12.530920407809951,12269.0
48.0,0.000283,5.455994846606007,3.0822127385457767,59.97471616072148,5.0322918164899555,8.188545838408873,-2.819810247664034,22.202700235258476,9.281282135685805,15.73871730975597,26,38,12,36,41,38,./pilatus/InAs0799/InAs0799time4/InAs0799time4_1_14.tif,43.749904070368075,42.4243429646272,37.58290392655466,28.848770624870863,38.463869585662785,12.51978985695988,12419.0
49.0,0.000283,5.486722025815999,3.0910959467236703,60.0243361012908,5.029743989700974,8.919012317357273,-2.819996469374301,-0.5287469659715713,8.2589209391193,1.7449652961535762,26,36,12,36,38,38,./pilatus/InAs0799/InAs0799time4/InAs0799time4_1_15.tif,43.72951224994381,42.53267547942655,37.5920150778823,28.9319697310257,38.1442934276671,12.520686887392545,12163.0
50.0,1.0,5.474991932881575,3.0608260729267505,59.932397547596,5.08346451412896,9.734199012213098,-2.829732221747845,0.998544410550274,7.886034287972806,25.587119432202332,26,37,12,36,41,38,./pilatus/InAs0799/InAs0799time4/InAs0799time4_1_16.tif,43.70398420463252,42.3913604976016,37.588711870155954,28.932869688218307,38.51676242686205,12.522410158805366,12396.0
56.0,0.000283,5.478061107282334,3.0798682900681524,59.79041274217015,5.188139779250165,8.8572596114449,-2.829631828684027,0.33962241442056346,8.797290814285507,11.927563881550375,26,36,12,36,40,38,./pilatus/InAs0799/InAs0799time4/InAs0799time4_1_17.tif,43.81453213676647,42.71014420686226,37.68576068483343,28.826707484134307,38.374714072600696,12.527878350877238,13059.0
57.0,0.000282,5.482491186839013,3.0844496670583625,59.87418723070897,4.998517281967901,9.20153589586273,-2.808932618471722,-0.4182499103064099,7.886652215775713,12.17161996355917,26,36,12,36,39,38,./pilatus/InAs0799/InAs0799time4/InAs0799time4_1_18.tif,43.779706790123456,42.531150788611484,37.62876720214996,28.94858824874257,38.18530465039494,12.518444472938425,12765.0
58.0,0.000283,5.443576388888889,3.0796243686868685,59.971511994949495,5.014504786345049,9.097007643950693,-2.802322302412652,3.801544915862714,8.11881312623826,23.576903478086162,26,37,12,36,40,38,./pilatus/InAs0799/InAs0799time4/InAs0799time4_1_19.tif,43.80642495759702,42.59428571428571,37.61215539259355,28.908815470926776,38.19825752722614,12.526582355100736,12672.0
59.0,1.0,5.497910925415592,3.071117432660681,60.10738732331763,5.095928302777254,8.699787481208297,-2.818483631234149,0.5754030675982348,8.53078055075739,18.489709057303635,26,37,12,36,39,38,./pilatus/InAs0799/InAs0799time4/InAs0799time4_1_20.tif,43.54989813407496,42.457637421483774,37.64073989718227,28.88917634123468,38.391061452513966,12.522285061850365,11249.0
65.0,0.00029,5.4985260138634375,3.0984782089076566,60.30204764560593,5.077204488238719,9.34963573083943,-2.8231903684807573,11.421839286338509,7.923509581123331,19.928622276198624,26,38,12,38,39,38,./pilatus/InAs0799/InAs0799time4/InAs0799time4_1_21.tif,43.72288877296702,42.642701020854226,37.59312334924576,28.946878803686314,38.36179896628867,12.527687748315058,12551.0
66.0,0.000288,5.454442831801322,3.077810030640219,60.09700048379294,5.038908789355899,9.047173851555675,-2.816833639444737,-0.956155983029495,8.771919636224114,17.117938330101165,26,37,12,36,39,38,./pilatus/InAs0799/InAs0799time4/InAs0799time4_1_22.tif,43.5956154096325,42.54978910691363,37.677904747337735,28.96636903881974,38.24814649865081,12.52195088572337,12402.0
