,NIG,Int_WZ,Int_ZB,Int_TW,FWHM_x_WZ,FWHM_x_ZB,FWHM_x_TW,FWHM_y_WZ,FWHM_y_ZB,FWHM_y_TW,max_pos_x_WZ,max_pos_x_ZB,max_pos_x_TW,max_pos_y_WZ,max_pos_y_ZB,max_pos_y_TW,name,COM_x_WZ,COM_x_ZB,COM_x_TW,COM_y_WZ,COM_y_ZB,COM_y_TW,Monitor
48.0,5.32e-06,50.311319812169046,43.359276651014085,792.7058647217505,5.531403695447499,5.425920338488151,-2.7447293861328306,43.30227770054806,11.92280328648073,45.09895742289425,47,40,13,28,54,40,./pilatus/InAs0800/InAs0800time3a/InAs0800time3a_1_0.tif,31.49712649384589,50.589548438533306,39.8052641270511,41.32625514828245,38.558964291227994,13.013727041931045,10009.0
49.0,5.33e-06,49.98613165680474,43.16503328402367,790.6045673076923,5.558291634759446,5.463531290369018,-2.739386842697803,46.6656617755922,11.85570576802193,34.40511720018071,47,40,13,28,54,40,./pilatus/InAs0800/InAs0800time3a/InAs0800time3a_1_1.tif,31.495897530750025,50.58920091759429,39.82869835843689,41.27719596781652,38.54062453815063,13.011910521344484,10816.0
50.0,5.32e-06,50.289837018581956,43.62856846257656,794.9549465379425,5.5746780826661535,5.440216112317859,-2.745439082469119,48.24194874340684,9.504764776466674,39.467196952480386,47,40,13,28,54,40,./pilatus/InAs0800/InAs0800time3a/InAs0800time3a_1_2.tif,31.49409423625532,50.575153352336805,39.82795988038864,41.311428406290126,38.54890618977144,13.01214709026782,9633.0
50.0,5.32e-06,50.242290748898675,43.32388866639968,792.1096315578694,5.563100471224895,5.405102719295209,-2.734077443028196,43.54515175136813,14.065166234546469,41.38085652002146,47,40,13,28,54,40,./pilatus/InAs0800/InAs0800time3a/InAs0800time3a_1_3.tif,31.530550795105814,50.575657643875125,39.87080917099986,41.250237136821966,38.58864066518919,13.01562643973886,9988.0
51.0,5.29e-06,50.34913536076327,43.35350824885709,792.731961836613,5.558359246847499,5.468724946496677,-2.738550612975145,69.99949087992039,13.455565434561665,29.89864869132165,47,40,13,28,54,40,./pilatus/InAs0800/InAs0800time3a/InAs0800time3a_1_4.tif,31.536411422525674,50.61724393257577,39.851558377522686,41.32449621308573,38.519807529635074,13.01377451601705,10062.0
52.0,5.3e-06,49.92955916473318,43.06088167053364,790.094849187935,5.549751108800265,5.442302169589769,-2.7368283936471123,48.38027544325633,11.860342333388866,33.37588715447681,47,40,13,28,54,40,./pilatus/InAs0800/InAs0800time3a/InAs0800time3a_1_5.tif,31.554321540694918,50.6216870949457,39.852572900290276,41.286841229686,38.55224028570135,13.013459102446157,10775.0
53.0,5.3e-06,50.28851249053747,43.29778576835731,791.2313588190765,5.514776768815747,5.468485540964445,-2.7390380696878482,43.42201182643418,12.187976262067822,30.47407296868702,47,40,13,28,54,40,./pilatus/InAs0800/InAs0800time3a/InAs0800time3a_1_6.tif,31.497552916648633,50.56986347473944,39.830666561584785,41.32325773498492,38.53541636161383,13.0138403127677,10568.0
54.0,5.3e-06,50.19750381097561,43.347942073170735,792.3350800304878,5.530079603660466,5.50112540979536,-2.7442411951723678,44.35957508985793,10.213364825992755,42.35403676928767,47,40,13,28,54,40,./pilatus/InAs0800/InAs0800time3a/InAs0800time3a_1_7.tif,31.465837118242916,50.53935337817047,39.8133848158609,41.30581753097995,38.56176095652556,13.011418832951815,10496.0
55.0,5.29e-06,50.122695367337386,43.23219466541881,791.0102012166589,5.534898874117096,5.477680383600983,-2.7381449297565914,49.58552965925635,11.982966380357533,31.572634513542152,47,40,13,28,54,40,./pilatus/InAs0800/InAs0800time3a/InAs0800time3a_1_8.tif,31.510782151799702,50.604895483357005,39.83905572493145,41.287270731065185,38.56914594229504,13.014838361446786,10685.0
56.0,5.29e-06,50.26675514266755,43.228836856574084,791.636932410655,5.53858870203745,5.394312700378909,-2.7331637174813395,42.61086205011369,10.540070562031891,36.8793319350708,47,40,13,28,54,40,./pilatus/InAs0800/InAs0800time3a/InAs0800time3a_1_9.tif,31.505725449964547,50.61198278149471,39.827255442416444,41.29223556568049,38.535457796899706,13.012693363579691,10549.0
57.0,5.3e-06,50.42566670072545,43.422397057320936,793.1819760907326,5.540466366347817,5.374240267302482,-2.7390585639002833,48.62242069798678,12.054188361017802,30.0608015094163,47,40,13,28,54,40,./pilatus/InAs0800/InAs0800time3a/InAs0800time3a_1_10.tif,31.459717618071146,50.59327019236426,39.82837382865517,41.334785498342505,38.51819048179305,13.01145903217263,9787.0
58.0,5.3e-06,50.383080131069406,43.44434514943898,793.6661701916394,5.569216702385534,5.371106877706253,-2.737238591892881,39.92608817433744,12.564974129512688,33.43171076616663,47,40,13,28,54,40,./pilatus/InAs0800/InAs0800time3a/InAs0800time3a_1_11.tif,31.51050239649355,50.66856064069042,39.82227538254666,41.30803613660013,38.58156049441407,13.013051400398249,10071.0
59.0,5.3e-06,49.95323298305406,43.23146833285998,790.2292909211399,5.533321929557559,5.4311668674428315,-2.739500694149253,36.34957608135432,11.991268732288686,38.359293870992566,47,40,13,28,54,40,./pilatus/InAs0800/InAs0800time3a/InAs0800time3a_1_12.tif,31.503629258456268,50.60270576848117,39.822469879691276,41.30433464226693,38.51932973323348,13.013662678419282,10563.0
59.0,5.29e-06,50.11120996441281,43.39640173981811,792.8017991300909,5.559385847216503,5.367038941602557,-2.7373962874775652,41.196147691608616,12.975063243833317,32.553953680215805,47,40,13,28,54,40,./pilatus/InAs0800/InAs0800time3a/InAs0800time3a_1_13.tif,31.495513142969866,50.59657219395077,39.83308081825111,41.291242294224986,38.526537706322124,13.013071972845827,10116.0
60.0,5.27e-06,50.00009531071292,43.4782691574533,791.245043842928,5.512770984958728,5.480314757842439,-2.735670342960693,50.64570017187159,12.63384012788124,39.12969997329133,47,40,13,28,54,40,./pilatus/InAs0800/InAs0800time3a/InAs0800time3a_1_14.tif,31.51709584998885,50.60581050213296,39.841122520897116,41.33241835223341,38.531884763270156,13.014089571310507,10492.0
61.0,5.28e-06,49.85414912526897,43.2537187763121,790.025353166807,5.551453650493647,5.5138196557363885,-2.7371919704854646,47.46568754293663,11.159680369975243,37.84071847005221,47,40,13,28,54,40,./pilatus/InAs0800/InAs0800time3a/InAs0800time3a_1_15.tif,31.509055322758314,50.602021460443524,39.841095372286674,41.2785579039616,38.565479009990504,13.0140363388071,10689.0
62.0,5.28e-06,49.814828476576906,43.29232755440797,789.7518443378827,5.5360615174323256,5.437479558790204,-2.7309151714099698,46.75804660010745,10.314434709317883,46.29098940270594,47,40,13,28,54,40,./pilatus/InAs0800/InAs0800time3a/InAs0800time3a_1_16.tif,31.536816539304542,50.57485163868428,39.846760576076626,41.29595958474024,38.54016512518585,13.01485205221957,10844.0
63.0,5.28e-06,50.001223068962275,43.24705993037915,789.1907987581146,5.526034591493278,5.523267227044607,-2.734267300035446,48.36017354064899,12.49676958625497,25.158534711179616,47,40,13,28,54,40,./pilatus/InAs0800/InAs0800time3a/InAs0800time3a_1_17.tif,31.534868843174408,50.63612394027928,39.84344615821854,41.3017782987715,38.509074929351954,13.014191298866077,10629.0
64.0,5.28e-06,50.41008966400631,43.47571189279732,793.409597004631,5.516482853899548,5.446029619508417,-2.7394036233120405,42.89861539528574,11.378081281727987,32.58692568938645,47,40,13,28,54,40,./pilatus/InAs0800/InAs0800time3a/InAs0800time3a_1_18.tif,31.502546851911212,50.6716919555339,39.81730903688058,41.310932894459086,38.544727866103095,13.014433739171125,10149.0
65.0,5.27e-06,50.40605407523511,43.34218260188088,793.5068573667712,5.512275938511013,5.455779278237404,-2.7424755309334636,51.383861323241895,11.631409234739124,36.58416886355036,47,40,13,28,54,40,./pilatus/InAs0800/InAs0800time3a/InAs0800time3a_1_19.tif,31.450077252718422,50.604463460334465,39.8032264468246,41.33352767979477,38.536666237226996,13.01564248817116,10208.0
66.0,5.27e-06,50.31804460025319,43.32564027656052,792.5404615834063,5.553546096285193,5.420669655779497,-2.7412651422121566,40.185534879274265,10.344886978141858,39.085724809899375,47,40,13,28,54,40,./pilatus/InAs0800/InAs0800time3a/InAs0800time3a_1_20.tif,31.474024415733208,50.542429834281464,39.798548718096164,41.31962819034054,38.54822649923243,13.014868039925304,10269.0
67.0,5.27e-06,50.338805115480056,43.34185913342241,791.2070051536552,5.533046540462641,5.44273865622767,-2.7416658723126854,45.50013182496981,11.981379652055226,35.35662679497659,47,40,13,28,54,40,./pilatus/InAs0800/InAs0800time3a/InAs0800time3a_1_21.tif,31.502567067968528,50.551808268888614,39.821449779603,41.30724049672955,38.57788636003312,13.015738576332945,10478.0
68.0,5.26e-06,50.12398468863785,43.28512743908132,791.374568200915,5.548447831838973,5.499702453037847,-2.739199705671359,50.11064928066417,11.586790398764718,35.88474401686344,47,40,13,28,54,40,./pilatus/InAs0800/InAs0800time3a/InAs0800time3a_1_22.tif,31.513721925651637,50.62906819490668,39.819192505131596,41.325094341731266,38.53704378735492,13.015436718338288,10711.0
69.0,5.26e-06,50.05423255813953,43.285581395348835,790.1519069767442,5.5439702084297835,5.473590952817065,-2.7374057907888454,47.32042754375139,10.059547234819755,33.36874362321183,47,40,13,28,54,40,./pilatus/InAs0800/InAs0800time3a/InAs0800time3a_1_23.tif,31.48666469671036,50.59018739791971,39.812276308835756,41.292224433776944,38.577353219289954,13.014726635431774,10750.0
70.0,5.24e-06,49.90098634294385,43.403831562974204,790.8404779969651,5.523331519131434,5.541969074911067,-2.733621894441651,40.93639903193699,12.81784898874567,31.115123637479307,47,40,13,28,54,40,./pilatus/InAs0800/InAs0800time3a/InAs0800time3a_1_24.tif,31.540109777328396,50.629776029717036,39.84952285881288,41.268739689369696,38.56224625805747,13.014928126014107,10544.0
70.0,5.25e-06,49.928225116455934,43.35716322844377,790.418100579903,5.546038018935637,5.468564495878672,-2.73064004854016,50.649046466471795,15.290258969740263,36.66018999636011,47,40,13,28,54,40,./pilatus/InAs0800/InAs0800time3a/InAs0800time3a_1_25.tif,31.575416749969058,50.68238926139179,39.87832134290259,41.28993421491065,38.534147967215844,13.017507079277323,10519.0
71.0,5.25e-06,49.96121937102065,43.36330310630909,790.6297511093961,5.548895481472834,5.435503116139963,-2.732990635345873,48.45960902838285,14.591813333356413,41.46919917183004,47,40,13,28,54,40,./pilatus/InAs0800/InAs0800time3a/InAs0800time3a_1_26.tif,31.55803459368447,50.58817496618495,39.880782506075164,41.271823795419174,38.561085107140315,13.014904459282636,10366.0
72.0,5.25e-06,50.10805843087937,43.390925800522396,790.0991583631615,5.51665312077638,5.422672669384113,-2.7328003808529395,37.0679223954152,11.29711977910981,40.330025847612795,47,40,13,28,54,40,./pilatus/InAs0800/InAs0800time3a/InAs0800time3a_1_27.tif,31.576442128552593,50.59572338205524,39.85805414426267,41.30004035006091,38.52540064031106,13.017520574538201,10337.0
73.0,5.25e-06,50.20299830284745,43.26541580237601,791.1118234961342,5.506929001237866,5.458934927939525,-2.7335131313813865,52.139244079329714,11.423193525747136,31.028538984609117,47,40,13,28,54,40,./pilatus/InAs0800/InAs0800time3a/InAs0800time3a_1_28.tif,31.511926874296886,50.632246830822474,39.84012706226494,41.30360613988465,38.55541511485749,13.015595197062593,10606.0
