,time,Int_WZ
5.0,5.0,12.614482200647249
6.0,6.0,12.577240890847564
11.0,11.0,12.628860099405198
12.0,12.0,12.570049446668234
13.0,13.0,12.539046887009993
14.0,14.0,12.67631892106307
20.0,20.0,12.584938271604939
21.0,21.0,12.68531348900864
22.0,22.0,12.579289528674252
28.0,28.0,12.635365453949525
29.0,29.0,12.663535645472061
30.0,30.0,12.600146198830409
31.0,31.0,12.62731684034683
37.0,37.0,12.617012905256534
38.0,38.0,12.616566834804539
39.0,39.0,12.568832384369395
40.0,40.0,12.68359700249792
46.0,46.0,12.60257113741475
47.0,47.0,12.573307692307694
48.0,48.0,12.57264017590702
49.0,49.0,12.557137208382759
55.0,55.0,12.618969426851198
56.0,56.0,12.587158808933005
57.0,57.0,12.577490482233502
58.0,58.0,12.6010209779054
64.0,64.0,12.548909105547054
65.0,65.0,12.595529865125242
66.0,66.0,12.64447435085497
67.0,67.0,12.581477896095517
73.0,73.0,12.564162938544856
74.0,74.0,12.600169648365204
75.0,75.0,12.64175771592631
76.0,76.0,12.565017887696376
82.0,82.0,12.576264172804766
83.0,83.0,12.5894404405215
84.0,84.0,12.56002160160469
85.0,85.0,12.58536205957844
91.0,91.0,12.624958151991965
92.0,92.0,12.586515364863743
93.0,93.0,12.615761466340064
94.0,94.0,12.588888888888887
100.0,100.0,12.58060906402366
101.0,101.0,12.629805786761795
102.0,102.0,12.549141336773362
108.0,108.0,12.621046433378195
109.0,109.0,12.637549631310264
110.0,110.0,12.59812719469372
116.0,116.0,12.584125736738706
117.0,117.0,12.523540045586731
118.0,118.0,12.562312903734048
119.0,119.0,12.604658532720649
125.0,125.0,12.591294117647061
126.0,126.0,12.543863742417171
127.0,127.0,12.508426097711814
128.0,128.0,12.542527153128347
134.0,134.0,12.578287760416664
135.0,135.0,12.537880539499035
136.0,136.0,12.574033903751907
137.0,137.0,12.531089371580167
143.0,143.0,12.586942624260828
144.0,144.0,12.557210031347964
145.0,145.0,12.542790152403285
146.0,146.0,12.597958035211835
152.0,152.0,12.52562417871222
153.0,153.0,12.52402163538021
154.0,154.0,12.613218297248899
155.0,155.0,12.58748382923674
156.0,156.0,12.590090090090088
162.0,162.0,12.593649258542873
163.0,163.0,12.596189080249175
164.0,164.0,12.567818504763446
165.0,165.0,12.511184107617707
171.0,171.0,12.481934153235047
172.0,172.0,12.551969365426695
173.0,173.0,12.541056505405198
174.0,174.0,12.539721792890262
181.0,181.0,12.531445556946185
182.0,182.0,12.551914725621794
183.0,183.0,12.563271482041891
184.0,184.0,12.56174507310871
190.0,190.0,12.46859375
191.0,191.0,12.57177071690883
192.0,192.0,12.495822794512147
198.0,198.0,12.572907012666047
199.0,199.0,12.624064988337489
200.0,200.0,12.667363512100987
201.0,201.0,12.605816516872986
207.0,207.0,12.766386854795499
208.0,208.0,12.735143611753054
209.0,209.0,12.785981223224866
210.0,210.0,12.794269564369946
216.0,216.0,12.752705033714912
217.0,217.0,12.835466604607866
218.0,218.0,12.784208895087554
219.0,219.0,12.877212871718845
222.0,222.0,12.79157894736842
223.0,223.0,12.779581815301759
224.0,224.0,12.83190685480762
225.0,225.0,12.753118792212954
226.0,226.0,12.76663214086527
232.0,232.0,12.83118998628258
233.0,233.0,12.784981598935087
234.0,234.0,12.899166597904117
240.0,240.0,12.80310836338657
241.0,241.0,12.812003144928804
242.0,242.0,12.863594776678033
249.0,249.0,12.769665531124186
250.0,250.0,12.793106206014075
250.0,250.0,12.813225255972695
251.0,251.0,12.794476504534213
258.0,258.0,12.823543381887275
258.0,258.0,12.832485588335027
259.0,259.0,12.742273644975928
260.0,260.0,12.801317586567045
265.0,265.0,12.800093852651337
266.0,266.0,12.921868834346144
267.0,267.0,12.803727983571598
268.0,268.0,12.783115451252165
274.0,274.0,12.983981092436974
275.0,275.0,12.956790653723907
276.0,276.0,12.91419631093544
277.0,277.0,12.939918032786885
283.0,283.0,13.015550994632145
284.0,284.0,13.030257662910724
285.0,285.0,13.05795761078998
286.0,286.0,12.991256656863525
292.0,292.0,13.089116596801741
293.0,293.0,13.090379706445436
300.0,300.0,13.045328826060233
301.0,301.0,13.061425624570251
301.0,301.0,13.14780487804878
308.0,308.0,13.02415230902368
309.0,309.0,13.004569687738005
310.0,310.0,13.083431999368534
311.0,311.0,13.087277147487846
317.0,317.0,12.991944229279628
