,NIG,name,Monitor,Timestamp
5.0,0.00039,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_0.tif,12360.0,
6.0,0.000392,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_1.tif,12707.0,
11.0,0.000392,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_2.tif,12273.0,
12.0,0.000392,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_3.tif,12741.0,
13.0,0.000392,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_4.tif,13010.0,
14.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_5.tif,12605.0,
20.0,0.000391,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_6.tif,12150.0,
21.0,0.000389,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_7.tif,11691.0,
22.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_8.tif,12921.0,
28.0,0.00039,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_9.tif,12204.0,
29.0,0.000391,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_10.tif,12456.0,
30.0,0.000391,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_11.tif,12312.0,
31.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_12.tif,12571.0,
37.0,0.00039,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_13.tif,12708.0,
38.0,0.000389,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_14.tif,12688.0,
39.0,0.00039,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_15.tif,12821.0,
40.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_16.tif,12010.0,
46.0,0.00039,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_17.tif,12757.0,
47.0,0.00039,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_18.tif,13000.0,
48.0,0.00039,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_19.tif,12734.0,
49.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_20.tif,12645.0,
55.0,0.000392,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_21.tif,12789.0,
56.0,0.000392,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_22.tif,12896.0,
57.0,0.000392,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_23.tif,12608.0,
58.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_24.tif,12537.0,
64.0,0.000392,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_25.tif,12421.0,
65.0,0.000391,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_26.tif,12975.0,
66.0,0.000391,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_27.tif,12632.0,
67.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_28.tif,12396.0,
73.0,0.00039,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_29.tif,12741.0,
74.0,0.00039,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_30.tif,12968.0,
75.0,0.00039,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_31.tif,12539.0,
76.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_32.tif,12858.0,
82.0,0.00039,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_33.tif,12083.0,
83.0,0.00039,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_34.tif,12349.0,
84.0,0.000391,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_35.tif,12962.0,
85.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_36.tif,12857.0,
91.0,0.000389,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_37.tif,11948.0,
92.0,0.000389,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_38.tif,12073.0,
93.0,0.00039,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_39.tif,11839.0,
94.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_40.tif,12690.0,
100.0,0.000396,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_41.tif,12511.0,
101.0,0.000394,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_42.tif,12615.0,
102.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_43.tif,12403.0,
108.0,0.000394,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_44.tif,11888.0,
109.0,0.000394,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_45.tif,12341.0,
110.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_46.tif,12815.0,
116.0,0.000393,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_47.tif,12725.0,
117.0,0.000394,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_48.tif,12723.0,
118.0,0.000392,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_49.tif,12694.0,
119.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_50.tif,12622.0,
125.0,0.000392,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_51.tif,12750.0,
126.0,0.000392,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_52.tif,12858.0,
127.0,0.000392,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_53.tif,12936.0,
128.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_54.tif,13074.0,
134.0,0.000392,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_55.tif,12288.0,
135.0,0.000392,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_56.tif,12975.0,
136.0,0.000394,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_57.tif,12447.0,
137.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_58.tif,12062.0,
143.0,0.000396,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_59.tif,12514.0,
144.0,0.000395,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_60.tif,12760.0,
145.0,0.000396,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_61.tif,12795.0,
146.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_62.tif,12439.0,
152.0,0.000392,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_63.tif,12937.0,
153.0,0.000392,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_64.tif,12572.0,
154.0,0.000392,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_65.tif,12286.0,
155.0,0.000392,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_66.tif,12368.0,
156.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_67.tif,11544.0,
162.0,0.00039,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_68.tif,12408.0,
163.0,0.000392,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_69.tif,10916.0,
164.0,0.000392,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_70.tif,12386.0,
165.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_71.tif,12786.0,
171.0,0.000392,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_72.tif,13091.0,
172.0,0.000392,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_73.tif,12796.0,
173.0,0.000392,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_74.tif,13043.0,
174.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_75.tif,12940.0,
181.0,0.00039,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_76.tif,12784.0,
182.0,0.000391,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_77.tif,12665.0,
183.0,0.000392,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_78.tif,12557.0,
184.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_79.tif,12584.0,
190.0,0.00039,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_80.tif,12800.0,
191.0,0.00039,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_81.tif,12526.0,
192.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_82.tif,13047.0,
198.0,0.000348,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_83.tif,12948.0,
199.0,0.000343,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_84.tif,12433.0,
200.0,0.000338,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_85.tif,12437.0,
201.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_86.tif,11794.0,
207.0,0.000321,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_87.tif,11198.0,
208.0,0.000317,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_88.tif,12116.0,
209.0,0.000315,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_89.tif,10971.0,
210.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_90.tif,10261.0,
216.0,0.000308,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_91.tif,12754.0,
217.0,0.000306,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_92.tif,12891.0,
218.0,0.000306,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_93.tif,12906.0,
219.0,0.000304,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_94.tif,11467.0,
222.0,0.000303,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_95.tif,12825.0,
223.0,0.000302,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_96.tif,12626.0,
224.0,0.000304,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_97.tif,12969.0,
225.0,0.000314,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_98.tif,12585.0,
226.0,0.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_99.tif,12551.0,
232.0,0.000346,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_100.tif,11664.0,
233.0,0.000346,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_101.tif,12771.0,
234.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_102.tif,12119.0,
240.0,0.00036,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_103.tif,11646.0,
241.0,0.000361,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_104.tif,11447.0,
242.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_105.tif,12023.0,
249.0,0.000367,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_106.tif,12916.0,
250.0,0.000367,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_107.tif,12504.0,
250.0,0.000369,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_108.tif,11720.0,
251.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_109.tif,12130.0,
258.0,0.000371,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_110.tif,12632.0,
258.0,0.000373,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_111.tif,11796.0,
259.0,0.000373,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_112.tif,12878.0,
260.0,0.000341,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_113.tif,12447.0,
265.0,0.000335,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_114.tif,12786.0,
266.0,0.000331,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_115.tif,12671.0,
267.0,0.000326,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_116.tif,12661.0,
268.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_117.tif,12698.0,
274.0,0.00031,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_118.tif,11424.0,
275.0,0.00031,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_119.tif,11641.0,
276.0,0.000308,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_120.tif,12144.0,
277.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_121.tif,12200.0,
283.0,0.000302,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_122.tif,12668.0,
284.0,0.0003,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_123.tif,12691.0,
285.0,0.0003,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_124.tif,12975.0,
286.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_125.tif,12581.0,
292.0,0.000298,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_126.tif,12882.0,
293.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_127.tif,12536.0,
300.0,0.000327,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_128.tif,13016.0,
301.0,0.000331,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_129.tif,13089.0,
301.0,1.0,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_130.tif,12300.0,
308.0,0.000348,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_131.tif,12711.0,
309.0,0.000348,./pilatus/InAs0799/InAs0799time3/InAs0799time3_1_132.tif,13130.0,
