,NIG,Int_WZ,Int_ZB,Int_TW,FWHM_x_WZ,FWHM_x_ZB,FWHM_x_TW,FWHM_y_WZ,FWHM_y_ZB,FWHM_y_TW,max_pos_x_WZ,max_pos_x_ZB,max_pos_x_TW,max_pos_y_WZ,max_pos_y_ZB,max_pos_y_TW,name,COM_x_WZ,COM_x_ZB,COM_x_TW,COM_y_WZ,COM_y_ZB,COM_y_TW,Monitor
10.0,0.000348,25.59417233777437,36.390204159877314,481.3098821048596,6.066620273937209,5.638534118210167,-2.825664737117817,49.51713633497227,17.98960839766212,24.399524602386208,46,40,13,28,54,40,./pilatus/InAs0800/time2a/InAs0800time2a_1_0.tif,34.81921100725028,50.09939972448961,38.96769773848722,35.92519399005333,38.58360528790309,12.56839442191247,10433.0
11.0,0.000348,25.544224574321216,36.32397606994938,479.8389323515877,6.161367517397597,5.68483558930421,-2.8306176624542183,48.90794972988775,18.07479320808997,31.04352305763875,46,40,13,28,54,40,./pilatus/InAs0800/time2a/InAs0800time2a_1_1.tif,34.79765293401264,50.08204277099275,38.9801607380909,35.9765329432366,38.570186996401965,12.570183467761272,10865.0
13.0,0.000348,25.586786842594314,36.24251997769931,479.5457164095893,6.128405210491898,5.637516173521298,-2.8282606377749673,51.48086672586912,18.80073237601227,28.64218132788134,46,40,13,28,54,40,./pilatus/InAs0800/time2a/InAs0800time2a_1_2.tif,34.81501643273474,50.167466580522095,38.97476685621478,35.95687178835364,38.57155896031709,12.567855890992044,10762.0
14.0,0.000348,25.625716702697623,36.25312529373061,480.1127925556913,6.197226408481507,5.549444807766518,-2.8283765744593072,49.27254358988307,18.43908890944294,34.4252149658769,46,40,13,28,54,40,./pilatus/InAs0800/time2a/InAs0800time2a_1_3.tif,34.7637731447519,50.1409266859737,38.96292032764804,35.97446374600194,38.54171020256834,12.566783739760998,10639.0
15.0,0.000347,25.62376052385407,36.22385406922357,480.0501403180543,6.218276144383427,7.650332858152278,-2.833387594922866,45.388987697157276,23.102631988028374,27.447254466112707,46,38,13,28,51,40,./pilatus/InAs0800/time2a/InAs0800time2a_1_4.tif,34.75508363816909,50.11011974702569,38.95604275044546,35.915660891215616,38.55142252855516,12.568991467994456,10690.0
16.0,0.000346,25.712244298717824,36.34560046980523,481.0419888421259,6.230132888983856,5.569706447300603,-2.834062742191855,58.10638666179143,17.32157882370633,26.200761708410386,46,40,13,28,54,40,./pilatus/InAs0800/time2a/InAs0800time2a_1_5.tif,34.81105967978927,50.082524781670855,38.94738714000105,35.96614795471675,38.578325160296544,12.570501867215105,10217.0
17.0,0.000347,25.550188024298524,36.31915919390608,480.18426381255426,6.0836421788504325,5.460310093219442,-2.834616912823727,53.91447588201985,17.371354995345115,22.89455001868654,46,40,13,28,54,40,./pilatus/InAs0800/time2a/InAs0800time2a_1_6.tif,34.835659915239205,50.140599363892676,38.977156585222744,35.984580026492466,38.56628153324165,12.569121309656985,10371.0
18.0,0.000346,25.50378045365444,36.24120227760665,479.17026043125173,6.160190582504445,5.425081894504262,-2.8214347460874176,45.818598795427626,18.570753474163006,26.768538898424858,46,40,13,28,54,40,./pilatus/InAs0800/time2a/InAs0800time2a_1_7.tif,34.858818103959415,50.19119798481399,39.034748841448796,35.95459370036088,38.5756158371367,12.57052089366186,10713.0
19.0,0.000344,25.646460696128276,36.4738951896754,481.1785295267892,6.140099439569605,5.507474792449369,-2.827503813629324,50.499831891788105,16.731034593721155,33.025614767705655,46,40,13,28,54,40,./pilatus/InAs0800/time2a/InAs0800time2a_1_8.tif,34.849061423038215,50.157550495235284,39.02528378577725,35.941123547531184,38.58005656002466,12.57029369536974,10228.0
20.0,0.000343,25.639752135949678,36.37357994554502,480.2274903764905,6.167958322148875,5.629876148706489,-2.8260244853131087,45.18806201595426,18.90717892450825,33.1402110115369,46,40,13,28,54,40,./pilatus/InAs0800/time2a/InAs0800time2a_1_9.tif,34.879998828220835,50.188201282862046,39.01495766390878,35.87508467935362,38.59892363486184,12.56919710891878,10651.0
